HEADER,ACE_HTC_20110222,
Default,1001,1101
Default Car-kit,1201,1301
JKDAP3264,1002,1102
JKDAP3265,1003,1103
9xxPlantronics,1004,1104
PROPlantronics,1005,1105
9xxBackBeat,1006,1106
Motorola H790,1007,1107
Motorola S9,1009,1109
HBH-IV840,1010,1110
HBH-PV740,1011,1111
HBH-DS220,1012,1112
HBH-DS980,1013,1113
Jabra Halo,1014,1114
Jabra STONE,1015,1115
Jabra BT3030,1016,1116
BH M300,1017,1117
Nokia BH-905,1018,1118
Nokia BH-106,1019,1119
Nokia BH-216,1020,1120
Samsung WEP410,1021,1121
BHM400,1022,1122
END,,
